,id,label,alma,field,award,occupation
152,Q6504196,Lawrence J. Fogel,"'New York University Tandon School of Engineering', 'Rutgers University'",,"'IEEE Fellow', 'IEEE Frank Rosenblatt Award'",artificial intelligence researcher
153,Q6525804,Leonard Uhr,"'Princeton University', 'Johns Hopkins University', 'University of Michigan', 'Oak Lane Day School'",,,artificial intelligence researcher
154,Q6526440,Leonid Perlovsky,,,,artificial intelligence researcher
155,Q6687391,Louis Hodes,'Massachusetts Institute of Technology','mathematics',,artificial intelligence researcher
156,Q6759197,Margaret Boden,"'Harvard University', 'Newnham College'",,"'Barwise Prize', 'Officer of the Order of the British Empire', 'AAAI Fellow', 'Fellow of the British Academy', 'EurAI Fellow'",artificial intelligence researcher
157,Q7036068,Nikolaos Mavridis,'Massachusetts Institute of Technology',,,artificial intelligence researcher
158,Q7129707,Pan Yunhe,"'Tongji University', 'Zhejiang University'",,'honorary doctor of the Hong Kong Polytechnic University',artificial intelligence researcher
159,Q7174849,Peter J. Bentley,,,,artificial intelligence researcher
160,Q7174866,Peter J. Fleming,,,"'Commander of the Order of the British Empire', 'Fellow of the Royal Academy of Engineering', 'Fellow of the International Federation of Automatic Control'",artificial intelligence researcher
161,Q6133578,James F. Allen,'University of Toronto',"'artificial intelligence', 'computational linguistics'","'AAAI Fellow', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
162,Q4801683,Artur d'Avila Garcez,"'University of London', 'Imperial College London'",,,artificial intelligence researcher
163,Q4888930,Benjamin Kuipers,"'Massachusetts Institute of Technology', 'Swarthmore College'",,,artificial intelligence researcher
164,Q4894234,Bernhard Schölkopf,"'Technical University of Berlin', 'University of Tübingen', 'University of London'","'machine learning', 'artificial intelligence'","'Berlin-Brandenburg Academy Award', 'Order of Merit of Baden-Württemberg', 'Gottfried Wilhelm Leibniz Prize', 'Annual BCI Research Award', 'Körber European Science Prize', 'Milner Award', 'ACM Fellow', 'J. K. Aggarwal Prize'",artificial intelligence researcher
165,Q4913685,Bimal Kumar Bose,'University of Calcutta',,,artificial intelligence researcher
166,Q5082169,Charles Rosen,"'Cooper Union', 'McGill University', 'Syracuse University'",'viticulture',,artificial intelligence researcher
167,Q5248328,Deborah L. McGuinness,"'Duke University', 'University of California, Berkeley', 'Rutgers University'",,'AAAS Fellow',artificial intelligence researcher
168,Q6531057,Leslie P. Kaelbling,'Stanford University','robotics',"'IJCAI Computers and Thought Award', 'AAAI Fellow'",artificial intelligence researcher
169,Q6758241,Marcus Hutter,"'Ludwig Maximilian University of Munich', 'Technical University of Munich'",'artificial intelligence',,artificial intelligence researcher
170,Q6769839,Mark Stephen Meadows,"'Harvard University', ""St. John's College""",,,artificial intelligence researcher
171,Q6784751,Massimo Negrotti,,,,artificial intelligence researcher
172,Q6851882,Milind Tambe,'Carnegie Mellon University',,"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
173,Q7174005,Peter Flach,"'Tilburg University', 'Radboud University Nijmegen', 'University of Twente'",,,artificial intelligence researcher
174,Q6835415,Michael Witbrock,'Carnegie Mellon University',,,artificial intelligence researcher
