from,to,similarity
242715,200434,0.0
242715,200435,0.0
242715,200437,0.0
242715,200438,0.0
242715,200439,0.0
242715,200440,0.0
242715,200441,0.0
242715,200442,0.0
242715,200444,0.0
242715,200446,0.0
242715,200447,0.0
242715,200449,0.0
242715,200450,0.0
242715,200451,0.0
242715,200452,0.0
242715,200453,0.0
242715,200454,0.0
242715,200455,0.0
242715,200457,0.0
242715,200458,0.0
242715,200459,0.0
242715,200461,0.0
242715,200462,0.0
242715,200463,0.0
242715,200465,0.0
242715,200469,0.0
242715,200473,0.0
242715,200474,0.0
242715,200475,0.0
242715,200476,0.0
242715,200478,0.0
242715,200481,0.0
242715,200482,0.0
242715,200483,0.0
242715,200484,0.0
242715,200486,0.0
242715,200487,0.0
242715,200488,0.0
242715,200489,0.0
242715,200490,0.0
242715,200491,0.0
242715,200492,0.0
242715,200493,0.0
242715,200494,0.0
242715,200495,0.0
242715,200496,0.0
242715,200497,0.0
242715,200499,0.0
242715,200500,0.0
242715,200503,0.0
242715,200504,0.0
242715,200506,0.0
242715,200507,0.0
242715,200508,0.0
242715,200510,0.0
242715,200511,0.0
242715,200513,0.0
242715,200515,0.0
242715,200518,0.0
242715,200521,0.0
242715,200522,0.0
242715,200523,0.0
242715,200524,0.0
242715,200526,0.0
242715,200527,0.0
242715,200528,0.0
242715,200529,0.0
242715,200530,0.0
242715,200532,0.0
242715,200533,0.0
242715,200534,0.0
242715,200536,0.0
242715,200537,0.0
242715,200540,0.0
242715,200541,0.0
242715,200542,0.0
242715,200543,0.0
242715,200544,0.0
242715,200545,0.0
242715,200546,0.0
242715,200547,0.0
242715,200549,0.0
242715,200550,0.0
242715,200551,0.0
242715,200552,0.0
242715,200555,0.0
242715,200556,0.0
242715,200557,0.0
242715,200558,0.0
242715,200559,0.0
242715,200560,0.0
242715,200561,0.0
242715,200563,0.0
242715,200564,0.0
242715,200565,0.0
242715,200567,0.0
242715,200568,0.0
242715,200569,0.0
242715,200570,0.0
242715,200571,0.0
242715,200572,0.0
242715,200573,0.0
242715,200574,0.0
242715,200576,0.0
242715,200577,0.0
242715,200580,0.0
242715,200581,0.0
242715,200582,0.0
242715,200583,0.0
242715,200584,0.0
242715,200587,0.0
242715,200589,0.0
242715,200590,0.0
242715,200592,0.0
242715,200594,0.0
242715,200596,0.0
242715,200597,0.0
242715,200598,0.0
242715,200599,0.0
242715,200600,0.0
242715,200603,0.0
242715,200604,0.0
242715,200607,0.0
242715,200610,0.0
242715,200611,0.0
242715,200612,0.0
242715,200613,0.0
242715,200614,0.0
242715,200615,0.0
242715,200616,0.0
242715,200617,0.0
242715,200619,0.0
242715,200620,0.0
242715,200624,0.0
242715,200625,0.0
242715,200626,0.0
242715,200627,0.0
242715,200628,0.0
242715,200632,0.0
242715,200633,0.0
242715,200634,0.0
242715,200635,0.0
242715,200637,0.0
242715,200640,0.0
242715,200641,0.0
242715,200642,0.0
242715,200644,0.0
242715,200646,0.0
242715,200648,0.0
242715,200649,0.0
242715,200650,0.0
242715,200651,0.0
242715,200652,0.0
242715,200653,0.0
242715,200654,0.0
242715,200655,0.0
242715,200658,0.0
242715,200659,0.0
242715,200660,0.0
242715,200661,0.0
242715,200662,0.0
242715,200664,0.0
242715,200666,0.0
242715,200667,0.0
242715,200668,0.0
242715,200669,0.0
242715,200670,0.0
242715,200672,0.0
242715,200673,0.0
242715,200674,0.0
242715,200676,0.0
242715,200679,0.0
242715,200682,0.0
242715,200683,0.0
242715,200684,0.0
242715,200686,0.0
242715,200687,0.0
242715,200688,0.0
242715,200689,0.0
242715,200690,0.0
242715,200691,0.0
242715,200693,0.0
242715,200698,0.0
242715,200699,0.0
242715,200701,0.0
242715,200702,0.0
242715,200705,0.0
242715,200707,0.0
242715,200708,0.0
242715,200709,0.0
242715,200710,0.0
242715,200712,0.0
242715,200713,0.0
242715,200714,0.0
242715,200715,0.0
242715,200718,0.0
242715,200719,0.0
242715,200720,0.0
242715,200721,0.0
242715,200722,0.0
242715,200723,0.0
242715,200724,0.0
242715,200725,0.0
242715,200726,0.0
242715,200728,0.0
242715,200730,0.0
242715,200731,0.0
242715,200732,0.0
242715,200733,0.0
242715,200734,0.0
242715,200735,0.0
242715,200736,0.0
242715,200737,0.0
242715,200741,0.0
242715,200743,0.0
242715,200744,0.0
242715,200745,0.0
242715,200746,0.0
242715,200747,0.0
242715,200748,0.0
242715,200749,0.0
242715,200750,0.0
242715,200751,0.0
242715,200752,0.0
242715,200753,0.0
242715,200755,0.0
242715,200756,0.0
242715,200757,0.0
242715,200759,0.0
242715,200760,0.0
242715,200761,0.0
242715,200762,0.0
242715,200763,0.0
242715,200764,0.0
242715,200766,0.0
242715,200767,0.0
242715,200768,0.0
242715,200769,0.0
242715,200770,0.0
242715,200771,0.0
242715,200774,0.0
242715,200775,0.0
242715,200777,0.0
242715,200778,0.0
242715,200779,0.0
242715,200780,0.0
242715,200781,0.0
242715,200784,0.0
242715,200786,0.0
242715,200787,0.0
242715,200788,0.0
242715,200789,0.0
242715,200790,0.0
242715,200791,0.0
242715,200793,0.0
242715,200794,0.0
242715,200795,0.0
